team,head_coach,offensive_coordinator,defensive_coordinator
Arizona Cardinals,Jonathan Gannon,Drew Petzing,Nick Rallis
Atlanta Falcons,Raheem Morris,Zac Robinson,Jimmy Lake
Baltimore Ravens,John Harbaugh,Todd Monken,Zach Orr
Buffalo Bills,Sean McDermott,Joe Brady,Bobby Babich
Carolina Panthers,Dave Canales,Brad Idzik,Ejiro Evero
Chicago Bears,Matt Eberflus,Shane Waldron,Eric Washington
Cincinnati Bengals,Zac Taylor,Dan Pitcher,Lou Anarumo
Cleveland Browns,Kevin Stefanski,Ken Dorsey,Jim Schwartz
Dallas Cowboys,Mike McCarthy,Brian Schottenheimer,Mike Zimmer
Denver Broncos,Sean Payton,Joe Lombardi,Vance Joseph
Detroit Lions,Dan Campbell,Ben Johnson,Aaron Glenn
Green Bay Packers,Matt LaFleur,Adam Stenavich,Jeff Hafley
Houston Texans,DeMeco Ryans,Bobby Slowik,Matt Burke
Indianapolis Colts,Shane Steichen,Jim Bob Cooter,Gus Bradley
Jacksonville Jaguars,Doug Pederson,Press Taylor,Ryan Neilsen
Kansas City Chiefs,Andy Reid,Matt Nagy,Steve Spagnuolo
Las Vegas Raiders,Antonio Pierce,Luke Getsy,Patrick Graham
Los Angeles Chargers,Jim Harbaugh,Greg Roman,Jesse Minter
Los Angeles Rams,Sean McVay,Mike LaFleur,Chris Shula
Miami Dolphins,Mike McDaniel,Frank Smith,Anthony Weaver
Minnesota Vikings,Kevin O'Connell,Wes Phillips,Brian Flores
New England Patriots,Jerod Mayo,Alex Van Pelt,DeMarcus Covington
New Orleans Saints,Dennis Allen,Klint Kubiak,Joe Woods
New York Giants,Brian Daboll,Mike Kafka,Shane Bowen
New York Jets,Robert Salah,Nathaniel Hackett,Jeff Ulbrich
Philadelphia Eagles,Nick Sirianni,Kellen Moore,Vic Fangio
Pittsburgh Steelers,Mike Tomlin,Arthur Smith,Teryl Austin
San Francisco 49ers,Kyle Shanahan,Kyle Shanahan,Nick Sorensen
Seattle Seahawks,Mike Macdonald,Ryan Grubb,Aden Durde
Tampa Bay Buccaneers,Todd Bowles,Liam Coen,Kacy Rodgers & Larry Foote
Tennessee Titans,Brian Callahan,Nick Holz,Dennard Wilson
Washington Commanders,Dan Quinn,Kliff Kingsbury,Joe Whitt Jr.
